# GL1L2  propL1h= 0.00000 propL1J= 1.00000  lambdaPhi= 0.000400000  lambdaPhij= 0.00200000  ungauged  ModAdamMax  learningRate= 0.00600000  betaV= 0.999000  betaM= 0.900000  eps= 1.00000e-06  batchSize=7007  miniBatchSize= 103  stepsPerEpoch= 68.0000
# learningRate.coolingMethod= (1+at)^b  stepsPerEpoch= 1.000000  warmupEpochs= 100.000000  maxLR= 0.00600000  maxLREpochs= 1736.00  constPerEpoch= 0.100000  power= -0.500000
# initial_h: to reproduce observed amino acid frequencies at each site.
# sigma_initial_J for Gaussian: 0.001
# MCMC Kernel: GibbsWithMHStep
# nIndependentMC = 7007  miniBatchSize = 103  for MCMC 
# initial configuration: observed sequence data
# nSamples for each MC run = 1
# nUnits=48  nInitialIterationsPerUnit=0  everyNIterationsPerUnit=10
# initialT = 1.00000  finalT = 1.00000  annealingRate = 0.990000; annealingRate may be adjusted.
# maxExtendedIterations = 1
# minLearningStepsForBestKL = 1744  minLearningSteps = 1836  maxNoLearnings = 91
#
# Frequencies, fia and fijab, are calculated from the effective number of sequences, effectiveNConfigs= 6341.77 .
#
# step	nNonEquil  nExtendedIterations of MC	<KLpi>	<KLpij> over ensemble and 97 minibatch ensembles with pseudocounts= 10.0000
#0	0 0	0.0748038 0.715107	0.00000 0.0641222
111	0 1	0.0771883 0.702305	0.000917366 0.0839492
112	0 1	0.0736973 0.697150	0.000909719 0.0838856
113	0 1	0.0773786 0.706255	0.000906411 0.0838125
114	0 1	0.0786445 0.711466	0.000894461 0.0837244
115	0 1	0.0733435 0.702652	0.000894966 0.0837157
116	0 1	0.0698858 0.694074	0.000886335 0.0835768
117	0 1	0.0731615 0.702710	0.000884768 0.0834964
118	0 1	0.0749819 0.706872	0.000881099 0.0834641
119	0 1	0.0746783 0.700921	0.000880333 0.0834423
120	0 1	0.0706354 0.694313	0.000865632 0.0833620
121	0 1	0.0721718 0.697923	0.000877359 0.0833707
122	0 1	0.0708215 0.690866	0.000857996 0.0833015
123	0 1	0.0739235 0.698123	0.000841255 0.0833305
124	0 1	0.0788914 0.711860	0.000832801 0.0832164
125	0 1	0.0764963 0.706620	0.000799805 0.0830817
126	0 1	0.0760735 0.705058	0.000794726 0.0830280
127	0 1	0.0723870 0.693863	0.000795472 0.0829781
128	0 1	0.0737301 0.699692	0.000805709 0.0829894
129	0 1	0.0746436 0.707658	0.000820644 0.0829815
130	0 1	0.0765217 0.706589	0.000819475 0.0829549
131	0 1	0.0785552 0.709939	0.000810779 0.0828364
132	0 1	0.0758025 0.701559	0.000818954 0.0827718
133	0 1	0.0720594 0.699948	0.000810179 0.0826293
134	0 1	0.0770898 0.708210	0.000798390 0.0825888
135	0 1	0.0690695 0.687020	0.000798559 0.0825337
136	0 1	0.0834258 0.722265	0.000798198 0.0824282
137	0 1	0.0719399 0.691709	0.000801297 0.0823488
138	0 1	0.0699664 0.688308	0.000802511 0.0823269
139	0 1	0.0754705 0.700898	0.000805777 0.0822877
140	0 1	0.0734463 0.708558	0.000811788 0.0822875
141	0 1	0.0737682 0.704637	0.000824260 0.0821940
142	0 1	0.0764444 0.712609	0.000844484 0.0821755
143	0 1	0.0733167 0.696720	0.000849781 0.0821734
144	0 1	0.0829223 0.716984	0.000862515 0.0821687
145	0 1	0.0747654 0.701089	0.000857723 0.0821177
146	0 1	0.0731341 0.693031	0.000862955 0.0821150
147	0 1	0.0751321 0.700666	0.000875524 0.0820783
148	0 1	0.0716303 0.692663	0.000874059 0.0819218
149	0 1	0.0722890 0.695877	0.000872756 0.0818615
150	0 1	0.0753671 0.705817	0.000875367 0.0818334
151	0 1	0.0711673 0.692008	0.000885105 0.0818245
152	0 1	0.0712470 0.688536	0.000888358 0.0817682
153	0 1	0.0770924 0.701140	0.000882873 0.0817519
154	0 1	0.0729724 0.692307	0.000883568 0.0817054
155	0 1	0.0705940 0.685465	0.000889159 0.0816132
156	0 1	0.0729086 0.695771	0.000879471 0.0814800
157	0 1	0.0794494 0.718512	0.000886557 0.0813867
158	0 1	0.0772686 0.699964	0.000898107 0.0813275
159	0 1	0.0712396 0.697566	0.000902582 0.0812662
160	0 1	0.0715144 0.689389	0.000903369 0.0812231
161	0 1	0.0827428 0.714176	0.000906388 0.0812594
162	0 1	0.0718596 0.693165	0.000919522 0.0812566
163	0 1	0.0720656 0.694556	0.000913481 0.0811577
164	0 1	0.0776921 0.698406	0.000921600 0.0811135
165	0 1	0.0755617 0.708912	0.000919206 0.0809506
166	0 1	0.0674524 0.677329	0.000942913 0.0809671
167	0 1	0.0728268 0.689527	0.000956992 0.0809184
168	0 1	0.0749339 0.694309	0.000971769 0.0809364
169	0 1	0.0782771 0.708174	0.000967473 0.0808157
170	0 1	0.0715102 0.680429	0.000955650 0.0806877
171	0 1	0.0782507 0.702737	0.000971137 0.0806878
172	0 1	0.0781557 0.705589	0.000955247 0.0805734
173	0 1	0.0769795 0.712659	0.000953948 0.0805194
174	0 1	0.0699084 0.680243	0.000966929 0.0804279
175	0 1	0.0757717 0.694856	0.000978367 0.0803656
176	0 1	0.0802874 0.714218	0.000989070 0.0803642
177	0 1	0.0707125 0.687322	0.000987101 0.0802980
178	0 1	0.0701770 0.682605	0.00100074 0.0802865
179	0 1	0.0696788 0.679065	0.00100087 0.0802222
180	0 1	0.0743156 0.691358	0.00100269 0.0801991
181	0 1	0.0769835 0.698251	0.00101174 0.0802085
182	0 1	0.0735796 0.690133	0.00102662 0.0801368
183	0 1	0.0764042 0.702378	0.00103147 0.0800962
184	0 1	0.0766040 0.699516	0.00105810 0.0801298
185	0 1	0.0717557 0.689651	0.00106882 0.0801177
186	0 1	0.0767617 0.697262	0.00108240 0.0800500
187	0 1	0.0719306 0.683190	0.00111299 0.0800479
188	0 1	0.0718558 0.688983	0.00114264 0.0800492
189	0 1	0.0804397 0.702432	0.00115360 0.0800253
190	0 1	0.0719234 0.681396	0.00117023 0.0799275
191	0 1	0.0774452 0.699887	0.00116295 0.0798437
192	0 1	0.0803856 0.703106	0.00117900 0.0797696
193	0 1	0.0722774 0.686256	0.00118858 0.0796455
194	0 1	0.0739039 0.698642	0.00119420 0.0795324
195	0 1	0.0706183 0.686883	0.00118214 0.0794386
196	0 1	0.0784747 0.699203	0.00118675 0.0793457
197	0 1	0.0719174 0.684253	0.00119415 0.0793345
198	0 1	0.0770701 0.700273	0.00121515 0.0793243
199	0 1	0.0806497 0.706864	0.00124321 0.0792564
200	0 1	0.0741996 0.688618	0.00123255 0.0791865
201	0 1	0.0732678 0.686967	0.00126109 0.0791902
202	0 1	0.0751406 0.689659	0.00129426 0.0791680
203	0 1	0.0770524 0.686559	0.00131017 0.0790936
204	0 1	0.0778968 0.700874	0.00134540 0.0791005
205	0 1	0.0719098 0.684134	0.00136508 0.0790230
206	0 1	0.0761947 0.699757	0.00139828 0.0790011
207	0 1	0.0708027 0.686282	0.00141516 0.0790161
208	0 1	0.0746093 0.691131	0.00143788 0.0789250
209	0 1	0.0724132 0.688569	0.00145346 0.0789072
210	0 1	0.0786054 0.697526	0.00147040 0.0788573
211	0 1	0.0739775 0.695685	0.00146725 0.0788107
212	0 1	0.0840849 0.714298	0.00148666 0.0787808
213	0 1	0.0777112 0.695984	0.00149765 0.0787195
214	0 1	0.0749941 0.692255	0.00156482 0.0788612
215	0 1	0.0753454 0.688834	0.00157061 0.0787959
216	0 1	0.0764719 0.685526	0.00160843 0.0787565
217	0 1	0.0675001 0.669911	0.00161052 0.0786095
218	0 1	0.0722296 0.682969	0.00163090 0.0785412
219	0 1	0.0758384 0.698660	0.00166369 0.0785581
220	0 1	0.0749277 0.695304	0.00167767 0.0785041
221	0 1	0.0707417 0.680961	0.00170402 0.0784901
222	0 1	0.0768755 0.697614	0.00170786 0.0784302
223	0 1	0.0720944 0.684195	0.00174587 0.0783985
224	0 1	0.0771343 0.702683	0.00176370 0.0783881
225	0 1	0.0780092 0.696094	0.00181043 0.0783968
226	0 1	0.0728358 0.688729	0.00184318 0.0784283
227	0 1	0.0701164 0.679307	0.00184497 0.0783701
228	0 1	0.0760235 0.687857	0.00188057 0.0783561
229	0 1	0.0771112 0.696658	0.00190392 0.0783637
230	0 1	0.0719211 0.683942	0.00191265 0.0782885
231	0 1	0.0809372 0.712761	0.00196309 0.0782753
232	0 1	0.0754649 0.687830	0.00198745 0.0782185
233	0 1	0.0802140 0.696573	0.00203252 0.0781761
234	0 1	0.0776837 0.691930	0.00207441 0.0782181
235	0 1	0.0733074 0.684571	0.00210408 0.0782631
236	0 1	0.0790925 0.694877	0.00214678 0.0782973
237	0 1	0.0798844 0.697825	0.00218425 0.0782619
238	0 1	0.0739353 0.686079	0.00221358 0.0783062
239	0 1	0.0726338 0.684670	0.00224149 0.0783259
240	0 1	0.0682843 0.675466	0.00226056 0.0782723
241	0 1	0.0762129 0.699734	0.00225550 0.0781662
242	0 1	0.0707790 0.673055	0.00229415 0.0782000
243	0 1	0.0767680 0.692867	0.00232977 0.0781581
244	0 1	0.0837255 0.712801	0.00236896 0.0781639
245	0 1	0.0776410 0.704622	0.00240421 0.0781692
246	0 1	0.0809273 0.697032	0.00246068 0.0781524
247	0 1	0.0768619 0.685226	0.00246776 0.0780832
248	0 1	0.0717578 0.686599	0.00247118 0.0779562
249	0 1	0.0759402 0.689388	0.00246881 0.0778996
250	0 1	0.0791776 0.691833	0.00251031 0.0779176
251	0 1	0.0773921 0.698016	0.00250933 0.0777686
252	0 1	0.0774736 0.695583	0.00252801 0.0777801
253	0 1	0.0808505 0.708620	0.00253268 0.0777019
254	0 1	0.0772722 0.694165	0.00250581 0.0776243
255	0 1	0.0803794 0.704311	0.00255798 0.0777028
256	0 1	0.0760822 0.692424	0.00261152 0.0777023
257	0 1	0.0746072 0.685921	0.00267052 0.0778189
258	0 1	0.0833812 0.704105	0.00267566 0.0777812
259	0 1	0.0816148 0.700899	0.00270600 0.0778364
260	0 1	0.0784128 0.700768	0.00273929 0.0778134
261	0 1	0.0666805 0.668615	0.00269272 0.0775991
262	0 1	0.0731564 0.684458	0.00269247 0.0775556
263	0 1	0.0752099 0.684134	0.00269329 0.0774766
