Warning: Only java properties are supported in JAVA_OPTS and JDK_JAVA_OPTIONS environment variables. Other options are ignored: -Xmx16g, -Xss1g, -Xmx16g, -Xss1g
[90mCompiling project (Scala 3.6.4, JVM (17))[0m
[90mCompiled project (Scala 3.6.4, JVM (17))[0m
NOTE: Picked up JDK_JAVA_OPTIONS: -Xmx16g -Xss1g -Djava.library.path=/usr/local/scala/javalib
# ./RunBM.scala . ./PiaPijab.out.gz ./representativeMSA.fasta.gz
# seed for scala.util.Random = 19
# seed for org.sanzo.potts.SetSeedForRand.randBasis = 0
trying to return java 16 instance
Mar 29, 2025 4:35:19 PM dev.ludovic.netlib.blas.InstanceBuilder initializeJava
WARNING: Failed to load implementation from:dev.ludovic.netlib.blas.VectorBLAS
return java 11 instance
ModAdam: step= 25  25  sqrt(max_i m^_i^2)= 0.200652  sqrt(sum_i m^_i^2)= 1.458408  ratio= 0.137583  learning rate for ModAdam= 0.007334  learning rate= 0.001500
ModAdam: step= 26  26  sqrt(max_i v^_i)=   0.204764  sqrt(sum_i v^_i)=   2.811784  ratio= 0.072824  learning rate for ModAdam= 0.007618  learning rate= 0.001560
ModAdam: step= 26  26  sqrt(max_i m^_i^2)= 0.201712  sqrt(sum_i m^_i^2)= 1.455896  ratio= 0.138548  learning rate for ModAdam= 0.007618  learning rate= 0.001560
ModAdam: step= 27  27  sqrt(max_i v^_i)=   0.204290  sqrt(sum_i v^_i)=   2.810470  ratio= 0.072689  learning rate for ModAdam= 0.007930  learning rate= 0.001620
ModAdam: step= 27  27  sqrt(max_i m^_i^2)= 0.200652  sqrt(sum_i m^_i^2)= 1.450387  ratio= 0.138343  learning rate for ModAdam= 0.007930  learning rate= 0.001620
ModAdam: step= 28  28  sqrt(max_i v^_i)=   0.203881  sqrt(sum_i v^_i)=   2.808888  ratio= 0.072584  learning rate for ModAdam= 0.008240  learning rate= 0.001680
ModAdam: step= 28  28  sqrt(max_i m^_i^2)= 0.199811  sqrt(sum_i m^_i^2)= 1.448510  ratio= 0.137943  learning rate for ModAdam= 0.008240  learning rate= 0.001680
ModAdam: step= 29  29  sqrt(max_i v^_i)=   0.204808  sqrt(sum_i v^_i)=   2.808755  ratio= 0.072918  learning rate for ModAdam= 0.008496  learning rate= 0.001740
ModAdam: step= 29  29  sqrt(max_i m^_i^2)= 0.202864  sqrt(sum_i m^_i^2)= 1.447095  ratio= 0.140187  learning rate for ModAdam= 0.008496  learning rate= 0.001740
ModAdam: step= 30  30  sqrt(max_i v^_i)=   0.204920  sqrt(sum_i v^_i)=   2.808479  ratio= 0.072965  learning rate for ModAdam= 0.008784  learning rate= 0.001800
ModAdam: step= 30  30  sqrt(max_i m^_i^2)= 0.203410  sqrt(sum_i m^_i^2)= 1.443090  ratio= 0.140954  learning rate for ModAdam= 0.008784  learning rate= 0.001800
ModAdam: step= 31  31  sqrt(max_i v^_i)=   0.203780  sqrt(sum_i v^_i)=   2.808260  ratio= 0.072565  learning rate for ModAdam= 0.009127  learning rate= 0.001860
ModAdam: step= 31  31  sqrt(max_i m^_i^2)= 0.199587  sqrt(sum_i m^_i^2)= 1.443221  ratio= 0.138293  learning rate for ModAdam= 0.009127  learning rate= 0.001860
ModAdam: step= 32  32  sqrt(max_i v^_i)=   0.202421  sqrt(sum_i v^_i)=   2.807133  ratio= 0.072109  learning rate for ModAdam= 0.009485  learning rate= 0.001920
ModAdam: step= 32  32  sqrt(max_i m^_i^2)= 0.195003  sqrt(sum_i m^_i^2)= 1.439762  ratio= 0.135441  learning rate for ModAdam= 0.009485  learning rate= 0.001920
ModAdam: step= 33  33  sqrt(max_i v^_i)=   0.203590  sqrt(sum_i v^_i)=   2.807647  ratio= 0.072513  learning rate for ModAdam= 0.009725  learning rate= 0.001980
ModAdam: step= 33  33  sqrt(max_i m^_i^2)= 0.199385  sqrt(sum_i m^_i^2)= 1.439516  ratio= 0.138508  learning rate for ModAdam= 0.009725  learning rate= 0.001980
ModAdam: step= 34  34  sqrt(max_i v^_i)=   0.202768  sqrt(sum_i v^_i)=   2.806941  ratio= 0.072238  learning rate for ModAdam= 0.010061  learning rate= 0.002040
ModAdam: step= 34  34  sqrt(max_i m^_i^2)= 0.196774  sqrt(sum_i m^_i^2)= 1.436607  ratio= 0.136972  learning rate for ModAdam= 0.010061  learning rate= 0.002040
ModAdam: step= 35  35  sqrt(max_i v^_i)=   0.202881  sqrt(sum_i v^_i)=   2.806538  ratio= 0.072289  learning rate for ModAdam= 0.010351  learning rate= 0.002100
ModAdam: step= 35  35  sqrt(max_i m^_i^2)= 0.197785  sqrt(sum_i m^_i^2)= 1.435509  ratio= 0.137781  learning rate for ModAdam= 0.010351  learning rate= 0.002100
ModAdam: step= 36  36  sqrt(max_i v^_i)=   0.202766  sqrt(sum_i v^_i)=   2.805848  ratio= 0.072265  learning rate for ModAdam= 0.010653  learning rate= 0.002160
ModAdam: step= 36  36  sqrt(max_i m^_i^2)= 0.197884  sqrt(sum_i m^_i^2)= 1.433654  ratio= 0.138028  learning rate for ModAdam= 0.010653  learning rate= 0.002160
ModAdam: step= 37  37  sqrt(max_i v^_i)=   0.202900  sqrt(sum_i v^_i)=   2.805434  ratio= 0.072324  learning rate for ModAdam= 0.010941  learning rate= 0.002220
ModAdam: step= 37  37  sqrt(max_i m^_i^2)= 0.198876  sqrt(sum_i m^_i^2)= 1.434936  ratio= 0.138596  learning rate for ModAdam= 0.010941  learning rate= 0.002220
ModAdam: step= 38  38  sqrt(max_i v^_i)=   0.201464  sqrt(sum_i v^_i)=   2.805362  ratio= 0.071814  learning rate for ModAdam= 0.011317  learning rate= 0.002280
ModAdam: step= 38  38  sqrt(max_i m^_i^2)= 0.192844  sqrt(sum_i m^_i^2)= 1.432580  ratio= 0.134613  learning rate for ModAdam= 0.011317  learning rate= 0.002280
ModAdam: step= 39  39  sqrt(max_i v^_i)=   0.201377  sqrt(sum_i v^_i)=   2.805099  ratio= 0.071790  learning rate for ModAdam= 0.011620  learning rate= 0.002340
ModAdam: step= 39  39  sqrt(max_i m^_i^2)= 0.193379  sqrt(sum_i m^_i^2)= 1.432523  ratio= 0.134992  learning rate for ModAdam= 0.011620  learning rate= 0.002340
ModAdam: step= 40  40  sqrt(max_i v^_i)=   0.201254  sqrt(sum_i v^_i)=   2.805123  ratio= 0.071745  learning rate for ModAdam= 0.011925  learning rate= 0.002400
ModAdam: step= 40  40  sqrt(max_i m^_i^2)= 0.193695  sqrt(sum_i m^_i^2)= 1.432221  ratio= 0.135241  learning rate for ModAdam= 0.011925  learning rate= 0.002400
ModAdam: step= 41  41  sqrt(max_i v^_i)=   0.200638  sqrt(sum_i v^_i)=   2.805018  ratio= 0.071528  learning rate for ModAdam= 0.012261  learning rate= 0.002460
ModAdam: step= 41  41  sqrt(max_i m^_i^2)= 0.191778  sqrt(sum_i m^_i^2)= 1.431165  ratio= 0.134002  learning rate for ModAdam= 0.012261  learning rate= 0.002460
ModAdam: step= 42  42  sqrt(max_i v^_i)=   0.200479  sqrt(sum_i v^_i)=   2.803891  ratio= 0.071500  learning rate for ModAdam= 0.012570  learning rate= 0.002520
ModAdam: step= 42  42  sqrt(max_i m^_i^2)= 0.192002  sqrt(sum_i m^_i^2)= 1.427081  ratio= 0.134542  learning rate for ModAdam= 0.012570  learning rate= 0.002520
ModAdam: step= 43  43  sqrt(max_i v^_i)=   0.200606  sqrt(sum_i v^_i)=   2.803476  ratio= 0.071556  learning rate for ModAdam= 0.012861  learning rate= 0.002580
ModAdam: step= 43  43  sqrt(max_i m^_i^2)= 0.193392  sqrt(sum_i m^_i^2)= 1.426645  ratio= 0.135557  learning rate for ModAdam= 0.012861  learning rate= 0.002580
ModAdam: step= 44  44  sqrt(max_i v^_i)=   0.199904  sqrt(sum_i v^_i)=   2.802491  ratio= 0.071331  learning rate for ModAdam= 0.013206  learning rate= 0.002640
ModAdam: step= 44  44  sqrt(max_i m^_i^2)= 0.190801  sqrt(sum_i m^_i^2)= 1.422261  ratio= 0.134153  learning rate for ModAdam= 0.013206  learning rate= 0.002640
ModAdam: step= 45  45  sqrt(max_i v^_i)=   0.199442  sqrt(sum_i v^_i)=   2.803320  ratio= 0.071145  learning rate for ModAdam= 0.013538  learning rate= 0.002700
ModAdam: step= 45  45  sqrt(max_i m^_i^2)= 0.189555  sqrt(sum_i m^_i^2)= 1.423973  ratio= 0.133117  learning rate for ModAdam= 0.013538  learning rate= 0.002700
ModAdam: step= 46  46  sqrt(max_i v^_i)=   0.199248  sqrt(sum_i v^_i)=   2.803393  ratio= 0.071074  learning rate for ModAdam= 0.013852  learning rate= 0.002760
ModAdam: step= 46  46  sqrt(max_i m^_i^2)= 0.189652  sqrt(sum_i m^_i^2)= 1.421578  ratio= 0.133409  learning rate for ModAdam= 0.013852  learning rate= 0.002760
ModAdam: step= 47  47  sqrt(max_i v^_i)=   0.200338  sqrt(sum_i v^_i)=   2.802892  ratio= 0.071475  learning rate for ModAdam= 0.014076  learning rate= 0.002820
ModAdam: step= 47  47  sqrt(max_i m^_i^2)= 0.195160  sqrt(sum_i m^_i^2)= 1.421286  ratio= 0.137312  learning rate for ModAdam= 0.014076  learning rate= 0.002820
ModAdam: step= 48  48  sqrt(max_i v^_i)=   0.200139  sqrt(sum_i v^_i)=   2.803295  ratio= 0.071394  learning rate for ModAdam= 0.014390  learning rate= 0.002880
ModAdam: step= 48  48  sqrt(max_i m^_i^2)= 0.194723  sqrt(sum_i m^_i^2)= 1.419043  ratio= 0.137222  learning rate for ModAdam= 0.014390  learning rate= 0.002880
ModAdam: step= 49  49  sqrt(max_i v^_i)=   0.199755  sqrt(sum_i v^_i)=   2.802477  ratio= 0.071278  learning rate for ModAdam= 0.014718  learning rate= 0.002940
ModAdam: step= 49  49  sqrt(max_i m^_i^2)= 0.193329  sqrt(sum_i m^_i^2)= 1.417091  ratio= 0.136426  learning rate for ModAdam= 0.014718  learning rate= 0.002940
ModAdam: step= 50  50  sqrt(max_i v^_i)=   0.199419  sqrt(sum_i v^_i)=   2.801957  ratio= 0.071171  learning rate for ModAdam= 0.015044  learning rate= 0.003000
ModAdam: step= 50  50  sqrt(max_i m^_i^2)= 0.192253  sqrt(sum_i m^_i^2)= 1.414563  ratio= 0.135910  learning rate for ModAdam= 0.015044  learning rate= 0.003000
